Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Income from agriculture lower than 30%;2005;18.299999;0.25999999;2672;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;National;2005;23.5;0.28;8912;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Rural;2013;28.1;0.30000001;1969;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Urban;2013;14.7;0.25999999;957;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Only male adults in the household;2013;26.5;0.33000001;52;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Only female adults in the household;2013;20.6;0.28999999;309;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Male and female adults in the household;2013;27.1;0.30000001;2562;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Expenditure quintile 1;2013;29.5;0.33000001;611;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Expenditure quintile 2;2013;26.9;0.28999999;563;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Expenditure quintile 3;2013;25.299999;0.28999999;587;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Expenditure quintile 4;2013;25.5;0.28999999;585;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Expenditure quintile 5;2013;24;0.28999999;580;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Small holder farms;2013;22.299999;0.31;2122;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Non-small holder farms;2013;32.099998;0.28;759;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Income from agriculture greater than 30%;2013;33.900002;0.28999999;1437;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;Income from agriculture lower than 30%;2013;17.5;0.28;1489;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kyrgyzstan;National;2013;26.5;0.30000001;2926;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Rural;2013;12.1;0.19;2741;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Urban;2013;4.4000001;0.14;437;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Only male adults in the household;2013;9.6999998;0.18000001;115;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Only female adults in the household;2013;7.8000002;0.15000001;450;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Male and female adults in the household;2013;12.2;0.19;2609;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Expenditure quintile 1;2013;10.6;0.19;665;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Expenditure quintile 2;2013;11.4;0.18000001;647;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Expenditure quintile 3;2013;11.7;0.18000001;660;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Expenditure quintile 4;2013;12.8;0.19;640;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Expenditure quintile 5;2013;10.3;0.17;566;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Malawi;Small holder farms;2013;8.1999998;0.17;2101;;
